token,date,amount
pBTC,8/21/2020,63383596898519684
pBTC,8/23/2020,1300000000000000
pBTC,8/24/2020,790292917518746473
pBTC,8/25/2020,454263890000000000
pBTC,8/26/2020,-17717820000000000
pBTC,8/27/2020,51632450000000000
pBTC,8/28/2020,-5495952442154243
pBTC,8/29/2020,-69133910000000000
pBTC,8/31/2020,-924452870087431374
pBTC,9/1/2020,1101398759999999900
pBTC,9/2/2020,-870245687988419035
pBTC,9/3/2020,-2406759286233048520
pBTC,9/4/2020,-1077670789312849072
pBTC,9/5/2020,-416336545970901664
pBTC,9/6/2020,994644020000000000
pBTC,9/7/2020,-329080571881636470
pBTC,9/8/2020,-1120173782609338866
pBTC,9/9/2020,135135900000000000
pBTC,9/10/2020,-1224298240120172000
pBTC,9/11/2020,-1040848186978696243
pBTC,9/12/2020,3400000000000000
pBTC,9/14/2020,1760000000000000
renBTC,5/13/2020,32410
renBTC,5/15/2020,3390768
renBTC,5/17/2020,968321
renBTC,5/20/2020,120265027
renBTC,5/22/2020,2346598
renBTC,5/23/2020,10560149
renBTC,5/24/2020,407328
renBTC,5/25/2020,81210
renBTC,5/26/2020,4065331
renBTC,5/27/2020,2657488424
renBTC,5/28/2020,192338953
renBTC,5/29/2020,975074772
renBTC,5/30/2020,813624294
renBTC,5/31/2020,39480596
renBTC,6/1/2020,60936175
renBTC,6/2/2020,174948447
renBTC,6/3/2020,97747718
renBTC,6/4/2020,17437104
renBTC,6/5/2020,987152803
renBTC,6/6/2020,-722062637
renBTC,6/7/2020,97655466
renBTC,6/8/2020,57831036
renBTC,6/9/2020,39308408
renBTC,6/10/2020,419159141
renBTC,6/11/2020,388303357
renBTC,6/12/2020,296308919
renBTC,6/13/2020,1632906729
renBTC,6/14/2020,3553397862
renBTC,6/15/2020,-133383160
renBTC,6/16/2020,795545168
renBTC,6/17/2020,11759742
renBTC,6/18/2020,2947138739
renBTC,6/19/2020,12191854774
renBTC,6/20/2020,11710850476
renBTC,6/21/2020,8028597838
renBTC,6/22/2020,15004062604
renBTC,6/23/2020,8706329688
renBTC,6/24/2020,11012936257
renBTC,6/25/2020,7978258353
renBTC,6/26/2020,2350850796
renBTC,6/27/2020,12501202041
renBTC,6/28/2020,3698672128
renBTC,6/29/2020,760121948
renBTC,6/30/2020,-1254481852
renBTC,7/1/2020,266592980
renBTC,7/2/2020,7597580633
renBTC,7/3/2020,15103418293
renBTC,7/4/2020,2143957827
renBTC,7/5/2020,6782170420
renBTC,7/6/2020,-1270264803
renBTC,7/7/2020,6043357609
renBTC,7/8/2020,2074092289
renBTC,7/9/2020,6603317530
renBTC,7/10/2020,-3153480754
renBTC,7/11/2020,9466490554
renBTC,7/12/2020,22009266978
renBTC,7/13/2020,-7218676053
renBTC,7/14/2020,344898756
renBTC,7/15/2020,-4634311875
renBTC,7/16/2020,-1728464988
renBTC,7/17/2020,5541649854
renBTC,7/18/2020,-15018526006
renBTC,7/19/2020,-23381726393
renBTC,7/20/2020,-10433305441
renBTC,7/21/2020,-11624380353
renBTC,7/22/2020,-1397718733
renBTC,7/23/2020,-3260827370
renBTC,7/24/2020,-2999311701
renBTC,7/25/2020,14098226711
renBTC,7/26/2020,18743148512
renBTC,7/27/2020,16542462114
renBTC,7/28/2020,26663948942
renBTC,7/29/2020,13350909621
renBTC,7/30/2020,6554268308
renBTC,7/31/2020,4817809421
renBTC,8/1/2020,17505540787
renBTC,8/2/2020,4357361523
renBTC,8/3/2020,-6954473619
renBTC,8/4/2020,208745765
renBTC,8/5/2020,26494319069
renBTC,8/6/2020,5863767791
renBTC,8/7/2020,4177482135
renBTC,8/8/2020,-7519321025
renBTC,8/9/2020,5982302401
renBTC,8/10/2020,-5274538281
renBTC,8/11/2020,-5009395349
renBTC,8/12/2020,6758760607
renBTC,8/13/2020,-3383469691
renBTC,8/14/2020,140777077196
renBTC,8/15/2020,152572168324
renBTC,8/16/2020,398625081367
renBTC,8/17/2020,59361035347
renBTC,8/18/2020,-48333717458
renBTC,8/19/2020,-83103102249
renBTC,8/20/2020,-44705469644
renBTC,8/21/2020,-17624972874
renBTC,8/22/2020,26453445540
renBTC,8/23/2020,6726214066
renBTC,8/24/2020,-8461416269
renBTC,8/25/2020,17157543604
renBTC,8/26/2020,147119707846
renBTC,8/27/2020,100854377614
renBTC,8/28/2020,74825932879
