token,date,amount
imBTC,3/7/2020,2
imBTC,3/7/2020,2
imBTC,3/8/2020,3
imBTC,3/8/2020,-0.02964868
imBTC,3/8/2020,0.1075
imBTC,3/8/2020,3
imBTC,3/8/2020,0.2
imBTC,3/8/2020,3
imBTC,3/8/2020,0.36848406
imBTC,3/8/2020,4
imBTC,3/8/2020,2
imBTC,3/9/2020,6.9995
imBTC,3/9/2020,3
imBTC,3/9/2020,1.44
imBTC,3/9/2020,0.7577
imBTC,3/9/2020,0.3194748
imBTC,3/9/2020,1.07
imBTC,3/9/2020,1.199482
imBTC,3/9/2020,-13
imBTC,3/9/2020,-2.00048736
imBTC,3/9/2020,0.15
imBTC,3/9/2020,0.01461672
imBTC,3/9/2020,0.498
imBTC,3/10/2020,2
imBTC,3/10/2020,4.9995604
imBTC,3/10/2020,2.79731311
imBTC,3/10/2020,2
imBTC,3/10/2020,0.12294793
imBTC,3/10/2020,0.01
imBTC,3/10/2020,0.11714849
imBTC,3/11/2020,-0.01261516
imBTC,3/11/2020,0.65
imBTC,3/11/2020,1
imBTC,3/11/2020,3
imBTC,3/11/2020,-0.01
imBTC,3/11/2020,-0.05
imBTC,3/11/2020,0.27034
imBTC,3/11/2020,-0.02
imBTC,3/11/2020,0.246
imBTC,3/11/2020,1.515
imBTC,3/11/2020,1
imBTC,3/12/2020,0.01057616
imBTC,3/12/2020,0.01432164
imBTC,3/12/2020,0.01205
imBTC,3/12/2020,-0.02
imBTC,3/12/2020,0.2319496
imBTC,3/12/2020,-10
imBTC,3/12/2020,0.54
imBTC,3/12/2020,1.5
imBTC,3/12/2020,7.9995532
imBTC,3/12/2020,2
imBTC,3/12/2020,2
imBTC,3/12/2020,2
imBTC,3/12/2020,0.222
imBTC,3/12/2020,0.4999
imBTC,3/12/2020,0.63412632
imBTC,3/12/2020,1
imBTC,3/12/2020,-3.71062949
imBTC,3/12/2020,0.1
imBTC,3/12/2020,-23
imBTC,3/13/2020,-9
imBTC,3/13/2020,1.5
imBTC,3/13/2020,0.09
imBTC,3/13/2020,5.7462184
imBTC,3/13/2020,0.1432
imBTC,3/13/2020,10
imBTC,3/13/2020,-3.23399152
imBTC,3/13/2020,0.65
imBTC,3/13/2020,-20.07034483
imBTC,3/13/2020,-0.04385517
imBTC,3/13/2020,-5.37390666
imBTC,3/13/2020,2
imBTC,3/13/2020,-1.36342622
imBTC,3/13/2020,3
imBTC,3/13/2020,3.23339844
imBTC,3/13/2020,2
imBTC,3/13/2020,-10
imBTC,3/13/2020,3
imBTC,3/13/2020,4.9998938
imBTC,3/13/2020,0.298
imBTC,3/13/2020,0.042
imBTC,3/14/2020,0.0287338
imBTC,3/14/2020,-0.082
imBTC,3/14/2020,0.0122017
imBTC,3/14/2020,-0.1
imBTC,3/14/2020,-0.15028
imBTC,3/14/2020,-0.15000077
imBTC,3/14/2020,-0.20878974
imBTC,3/14/2020,0.01229022
imBTC,3/15/2020,13.4773853
imBTC,3/15/2020,4
imBTC,3/15/2020,7.9996
imBTC,3/15/2020,1.5098731
imBTC,3/15/2020,0.048
imBTC,3/16/2020,0.099
imBTC,3/16/2020,3
imBTC,3/16/2020,4.9995424
imBTC,3/16/2020,0.2499388
imBTC,3/16/2020,-0.01000402
imBTC,3/16/2020,4
imBTC,3/16/2020,-0.1
imBTC,3/16/2020,-12.73847665
imBTC,3/16/2020,1.5
imBTC,3/17/2020,-8
imBTC,3/17/2020,20
imBTC,3/17/2020,0.25
imBTC,3/17/2020,4.9993812
imBTC,3/17/2020,0.03489524
imBTC,3/17/2020,2
imBTC,3/17/2020,-0.63757736
imBTC,3/17/2020,0.5
imBTC,3/18/2020,-5
imBTC,3/18/2020,4
imBTC,3/18/2020,-0.05
imBTC,3/18/2020,3.57170135
imBTC,3/18/2020,5.4995
imBTC,3/18/2020,4
imBTC,3/18/2020,-10
imBTC,3/19/2020,0.25880161
imBTC,3/19/2020,-15
imBTC,3/19/2020,0.5
imBTC,3/19/2020,-6.08476837
imBTC,3/20/2020,0.499
imBTC,3/20/2020,-0.17055152
imBTC,3/20/2020,0.13242317
imBTC,3/20/2020,3.5336183
imBTC,3/20/2020,2
imBTC,3/20/2020,2
imBTC,3/20/2020,3
imBTC,3/20/2020,-0.02874304
imBTC,3/21/2020,-9.6
imBTC,3/21/2020,4
imBTC,3/22/2020,4
imBTC,3/22/2020,3.0995
imBTC,3/22/2020,-0.01103151
imBTC,3/22/2020,-0.05228985
imBTC,3/22/2020,0.18
imBTC,3/22/2020,3.8996
imBTC,3/22/2020,0.02949927
imBTC,3/22/2020,-7
imBTC,3/23/2020,3.9996
imBTC,3/23/2020,-0.05003995
imBTC,3/23/2020,-2.9916
imBTC,3/23/2020,0.03850732
imBTC,3/23/2020,3.7995
imBTC,3/24/2020,-9
imBTC,3/24/2020,0.07
imBTC,3/24/2020,-0.16949
imBTC,3/24/2020,0.03219439
imBTC,3/24/2020,2.0633858
imBTC,3/25/2020,6.2995
imBTC,3/25/2020,4
imBTC,3/25/2020,8.9995
imBTC,3/25/2020,14.9995
imBTC,3/25/2020,4
imBTC,3/25/2020,9.9995
imBTC,3/25/2020,-0.99
imBTC,3/25/2020,12.9995
imBTC,3/25/2020,-20
imBTC,3/25/2020,0.36037447
imBTC,3/26/2020,2
imBTC,3/26/2020,6.9995
imBTC,3/26/2020,4
imBTC,3/26/2020,-0.999999
imBTC,3/26/2020,-0.99
imBTC,3/26/2020,-0.999
imBTC,3/26/2020,-0.99
imBTC,3/26/2020,-0.06510768
imBTC,3/26/2020,-10
imBTC,3/27/2020,-7.5
imBTC,3/27/2020,0.9999257
imBTC,3/27/2020,-23.43328775
imBTC,3/27/2020,-0.1
imBTC,3/27/2020,0.01
imBTC,3/27/2020,-10
imBTC,3/28/2020,-0.999
imBTC,3/28/2020,4
imBTC,3/28/2020,7.9996
imBTC,3/28/2020,2
imBTC,3/28/2020,-0.9999
imBTC,3/28/2020,7.9996
imBTC,3/28/2020,0.10028115
imBTC,3/28/2020,-3.18540866
imBTC,3/29/2020,-0.10539837
imBTC,3/29/2020,0.2
imBTC,3/29/2020,0.1999
imBTC,3/29/2020,4
imBTC,3/30/2020,19.99995
imBTC,3/30/2020,7
imBTC,3/30/2020,2
imBTC,3/30/2020,-0.1
imBTC,3/30/2020,-0.06259371
imBTC,3/30/2020,-30
imBTC,3/30/2020,-15
imBTC,3/30/2020,-10
imBTC,3/30/2020,-0.1
imBTC,3/30/2020,-4
imBTC,3/30/2020,0.1
imBTC,3/30/2020,0.41
imBTC,3/30/2020,3.9999318
imBTC,3/30/2020,0.0275062
imBTC,3/30/2020,0.15136345
imBTC,3/31/2020,-0.35185611
imBTC,3/31/2020,-5
imBTC,3/31/2020,3.998
imBTC,3/31/2020,1
imBTC,3/31/2020,1
imBTC,3/31/2020,0.22
imBTC,3/31/2020,49
imBTC,3/31/2020,0.8
imBTC,3/31/2020,-7.7
imBTC,3/31/2020,-45.8
imBTC,4/1/2020,0.95985216
imBTC,4/1/2020,0.85787866
imBTC,4/1/2020,-1.00276795
imBTC,4/2/2020,-6.5
imBTC,4/2/2020,4.4995
imBTC,4/2/2020,50
imBTC,4/2/2020,-50
imBTC,4/2/2020,1.00348958
imBTC,4/2/2020,2
imBTC,4/2/2020,0.07761623
imBTC,4/2/2020,-9.3
imBTC,4/2/2020,48
imBTC,4/2/2020,2
imBTC,4/2/2020,0.01024124
imBTC,4/2/2020,0.3
imBTC,4/3/2020,4
imBTC,4/3/2020,4.5996
imBTC,4/3/2020,-48.00073492
imBTC,4/3/2020,50
imBTC,4/3/2020,-50
imBTC,4/3/2020,0.05
imBTC,4/3/2020,2
imBTC,4/3/2020,0.81128849
imBTC,4/3/2020,2
imBTC,4/3/2020,0.01
imBTC,4/4/2020,2.7000006
imBTC,4/4/2020,-7.2
imBTC,4/4/2020,-9.69999999
imBTC,4/5/2020,-0.07317
imBTC,4/5/2020,0.37736999
imBTC,4/5/2020,0.04793093
imBTC,4/5/2020,-0.9999999
imBTC,4/5/2020,-0.9999999
imBTC,4/5/2020,-0.9999999
imBTC,4/5/2020,0.02491783
imBTC,4/6/2020,0.11940555
imBTC,4/6/2020,-0.37737048
imBTC,4/6/2020,-0.59697634
imBTC,4/6/2020,0.8547099
imBTC,4/6/2020,2
imBTC,4/6/2020,-0.18
imBTC,4/6/2020,-0.04203852
imBTC,4/6/2020,0.01171776
imBTC,4/7/2020,0.1990712
imBTC,4/7/2020,0.18178153
imBTC,4/7/2020,-0.10796582
imBTC,4/7/2020,2
imBTC,4/7/2020,4
imBTC,4/8/2020,0.0236712
imBTC,4/8/2020,0.0992748
imBTC,4/8/2020,-0.13879584
imBTC,4/9/2020,0.05
imBTC,4/9/2020,-0.01405132
imBTC,4/9/2020,3
imBTC,4/9/2020,6.7996
imBTC,4/9/2020,-0.87150133
imBTC,4/9/2020,0.0992604
imBTC,4/9/2020,0.4999604
imBTC,4/9/2020,0.0477
imBTC,4/9/2020,-0.05000996
imBTC,4/10/2020,0.5
imBTC,4/10/2020,2
